date_time,scheduled_time,module_name,mounted_on,v,i,status_integer,axis_azimuth,axis_tilt,temperature_air,relative_humidity,dew_point,relative_pressure,wind_speed,wind_speed_std,wind_direction,wind_direction_std,irradiance
2026-05-11T15:31:20.024834+02:00,2026-05-11T15:31:20+02:00,My_solar_panel_1,Fixed-rack,-0.000292536,7.95096e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:31:30.025299+02:00,2026-05-11T15:31:30+02:00,My_solar_panel_1,Fixed-rack,-0.000290127,8.09142e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:31:40.028582+02:00,2026-05-11T15:31:40+02:00,My_solar_panel_1,Fixed-rack,-0.000287723,8.12917e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:31:50.027580+02:00,2026-05-11T15:31:50+02:00,My_solar_panel_1,Fixed-rack,-0.000289095,7.98522e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:32:00.026666+02:00,2026-05-11T15:32:00+02:00,My_solar_panel_1,Fixed-rack,-0.000285314,7.901e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:32:10.025680+02:00,2026-05-11T15:32:10+02:00,My_solar_panel_1,Fixed-rack,-0.000298033,7.99217e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:32:20.024336+02:00,2026-05-11T15:32:20+02:00,My_solar_panel_1,Fixed-rack,-0.000293908,7.86143e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:32:30.025678+02:00,2026-05-11T15:32:30+02:00,My_solar_panel_1,Fixed-rack,-0.000292192,7.88251e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:32:40.026589+02:00,2026-05-11T15:32:40+02:00,My_solar_panel_1,Fixed-rack,-0.000293908,7.93076e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:32:50.025922+02:00,2026-05-11T15:32:50+02:00,My_solar_panel_1,Fixed-rack,-0.000277409,7.98094e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:33:00.026058+02:00,2026-05-11T15:33:00+02:00,My_solar_panel_1,Fixed-rack,-0.000295628,7.98867e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:33:10.026637+02:00,2026-05-11T15:33:10+02:00,My_solar_panel_1,Fixed-rack,-0.000290471,7.94923e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:33:20.028297+02:00,2026-05-11T15:33:20+02:00,My_solar_panel_1,Fixed-rack,-0.000296661,8.10013e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:33:30.025556+02:00,2026-05-11T15:33:30+02:00,My_solar_panel_1,Fixed-rack,-0.000304222,8.0825e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:33:40.027941+02:00,2026-05-11T15:33:40+02:00,My_solar_panel_1,Fixed-rack,-0.000289095,7.98873e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-11T15:33:50.029977+02:00,2026-05-11T15:33:50+02:00,My_solar_panel_1,Fixed-rack,-0.00029322,7.95798e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:57:00.031281+02:00,2026-05-12T15:57:00+02:00,My_solar_panel_1,Egis-tracker,-0.000297345,7.92897e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:57:10.031228+02:00,2026-05-12T15:57:10+02:00,My_solar_panel_1,Egis-tracker,-0.000303534,8.04302e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:57:20.031469+02:00,2026-05-12T15:57:20+02:00,My_solar_panel_1,Egis-tracker,-0.000305938,7.99648e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:57:30.032658+02:00,2026-05-12T15:57:30+02:00,My_solar_panel_1,Egis-tracker,-0.000297689,7.95267e-07,4,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:57:40.031383+02:00,2026-05-12T15:57:40+02:00,My_solar_panel_1,Egis-tracker,-0.000293908,8.07822e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:57:50.031979+02:00,2026-05-12T15:57:50+02:00,My_solar_panel_1,Egis-tracker,-0.000298721,7.84646e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:58:00.034260+02:00,2026-05-12T15:58:00+02:00,My_solar_panel_1,Egis-tracker,-0.000298033,7.85788e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:58:10.032488+02:00,2026-05-12T15:58:10+02:00,My_solar_panel_1,Egis-tracker,-0.000303534,7.95173e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:58:20.033180+02:00,2026-05-12T15:58:20+02:00,My_solar_panel_1,Egis-tracker,-0.000301814,7.79377e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:58:30.022200+02:00,2026-05-12T15:58:30+02:00,My_solar_panel_1,Egis-tracker,-0.000295284,8.02729e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:58:40.024997+02:00,2026-05-12T15:58:40+02:00,My_solar_panel_1,Egis-tracker,-0.000295284,7.90266e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:58:50.036487+02:00,2026-05-12T15:58:50+02:00,My_solar_panel_1,Egis-tracker,-0.000301814,7.79026e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:59:00.036688+02:00,2026-05-12T15:59:00+02:00,My_solar_panel_1,Egis-tracker,-0.000285314,7.73423e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:59:10.036571+02:00,2026-05-12T15:59:10+02:00,My_solar_panel_1,Egis-tracker,-0.000300441,7.907e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:59:20.025855+02:00,2026-05-12T15:59:20+02:00,My_solar_panel_1,Egis-tracker,-0.000293908,8.02468e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:59:30.026523+02:00,2026-05-12T15:59:30+02:00,My_solar_panel_1,Egis-tracker,-0.000302502,7.8631e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:59:40.026059+02:00,2026-05-12T15:59:40+02:00,My_solar_panel_1,Egis-tracker,-0.000299065,7.84382e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T15:59:50.024240+02:00,2026-05-12T15:59:50+02:00,My_solar_panel_1,Egis-tracker,-0.00030113,7.8754e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
2026-05-12T16:00:00.026003+02:00,2026-05-12T16:00:00+02:00,My_solar_panel_1,Egis-tracker,-0.000296317,7.98427e-07,1,180,30,23,67,24,1,1.5,0.5,10,1.5,17
